image_name	sigma	noise_psnr	noise_ssim	denoise_psnr_lpg_pca	denoise_ssim_lpg_pca	denoise_psnr_mf	denoise_ssim_mf	denoise_psnr_nlm	denoise_ssim_nlm
barbara	10.0	28.130803608679106	0.8590470214454033	28.37879159199752	0.9201641277655352	27.5402392228988	0.8841457382241594	27.96231325479261	0.8836170585545223
barbara	20.0	22.11020369539948	0.6408045434730911	26.92900786201653	0.8849531058493681	25.742511929205364	0.8148429099551201	27.593969228768856	0.8789206518934451
barbara	30.0	18.58837851428585	0.4763350111681136	25.68020882706648	0.8462535042279784	23.904696939293032	0.7311867575182326	26.75434545776067	0.8610598914540563
barbara	40.0	16.089603782119855	0.3624548933583576	24.52202239783813	0.8030766571794855	22.245095620473393	0.6487088830078448	25.51130382463136	0.8228582671405819
boat	10.0	28.130803608679106	0.8504114080563626	26.752841423477282	0.8778815036883761	26.730637089310537	0.8766379069020042	26.688551819854002	0.8366927672486619
boat	20.0	22.11020369539948	0.6243921967076089	25.65237780882235	0.839548705176847	25.114041721617326	0.7993221909731967	26.42700893496258	0.8353173540985657
boat	30.0	18.58837851428585	0.4600974873871082	24.633464036182552	0.7961413806270295	23.438014466631856	0.7079334038897951	25.78016671849228	0.8209638422631251
boat	40.0	16.089603782119855	0.349275233658974	23.67760285436902	0.7489312931952585	21.88201945345053	0.6191997026494666	24.7351871658438	0.7848239521180584
cameraman	10.0	28.130803608679106	0.8064538863741133	27.257001703221828	0.9090324733024304	26.55770618125679	0.8834646789149884	29.131550705961992	0.8994918094541021
cameraman	20.0	22.11020369539948	0.5563639899414721	26.199940228719143	0.8727058120446073	25.03339921392682	0.7878352360535146	28.57890683151666	0.8964700385777252
cameraman	30.0	18.58837851428585	0.4005260790463573	25.17463873470405	0.8268538359094246	23.35086701956214	0.6774774934510993	27.516389184072967	0.8806102181378381
cameraman	40.0	16.089603782119855	0.30497571825927394	24.162341145051798	0.7740070523460342	21.795623101950792	0.5762527728990036	26.072038628163238	0.8411135726315615
couple	10.0	28.130803608679106	0.8624283351306349	26.837781841545482	0.8736298036556865	26.75786303537352	0.8664176080943791	26.016501107264336	0.8086740409539345
couple	20.0	22.11020369539948	0.6427513135774346	25.6142139988798	0.8313560808978874	25.160598875298557	0.7931975665346591	25.823385193863977	0.8067012277857016
couple	30.0	18.58837851428585	0.4743045388298844	24.590033002645807	0.7871807378855922	23.473721098419123	0.7061352976093117	25.28949639964603	0.7914323856725108
couple	40.0	16.089603782119855	0.3575875137992516	23.626605961537823	0.7390601450106838	21.91919825664333	0.6207311004253814	24.398671898291678	0.7558010409648399
fingerprint	10.0	28.130803608679106	0.9630314393290341	24.51703285753341	0.8982088960004593	23.46257671981989	0.8811410089475168	23.84512609766625	0.8498460394214682
fingerprint	20.0	22.11020369539948	0.8723267778159166	23.345599392381192	0.8648407790291185	22.25168960610073	0.8440905601603687	23.49379476001752	0.8447212372956614
fingerprint	30.0	18.58837851428585	0.7619325827384684	22.28292525551754	0.8294361997882317	21.078060642130865	0.8016458318748442	22.71274842885418	0.8262076953020053
fingerprint	40.0	16.089603782119855	0.6534863558887192	21.30614840483221	0.7903926109359605	19.994869586792127	0.7567224635868913	21.587208605954537	0.7903685130404466
hill	10.0	28.130803608679106	0.8522941742136566	28.68514942616077	0.8889890590908588	28.88671403067389	0.8899110914066121	26.882231487914066	0.8107772539833977
hill	20.0	22.11020369539948	0.6162338668441449	27.307421352752208	0.8517090328124096	26.61094910145968	0.8136678980284139	26.69960058657212	0.8086752838683736
hill	30.0	18.58837851428585	0.4387909378390234	25.999615864282852	0.8065457558814677	24.46230339545146	0.7213367535270813	26.15596522638593	0.7927159909091375
hill	40.0	16.089603782119855	0.32010366775356736	24.754318588826322	0.7542839688563959	22.60875095815802	0.628895449401716	25.233741172362162	0.7559666934099047
house	10.0	28.130803608679106	0.7894958970986987	31.72412319402068	0.942367043277846	31.459161104767013	0.9134115565455913	31.389731228960837	0.9272423902591848
house	20.0	22.11020369539948	0.5191635159667873	29.90304442720119	0.9086334929171122	27.944000412492237	0.8114961594818001	30.845097417970308	0.9230246410382889
house	30.0	18.58837851428585	0.35491871025623084	28.160920808098314	0.8637105296613157	25.219960318530717	0.6956219305459507	29.711396034507843	0.9059045031754082
house	40.0	16.089603782119855	0.2573148894178083	26.578593248161262	0.8101567913017991	23.07825926743677	0.5893349970413977	28.06493230927029	0.8640011678541567
lena	10.0	28.130803608679106	0.8301234346831619	29.194755384057856	0.9309058453087004	29.454352055594825	0.9207746124685848	28.80226245181745	0.9041241936712712
lena	20.0	22.11020369539948	0.5901623156174408	27.70445761411189	0.8961145360917904	26.822415485834355	0.8344189680547055	28.43337295075809	0.8996099185118142
lena	30.0	18.58837851428585	0.4261433809693255	26.359142178182374	0.8542530655859869	24.53552422247572	0.7335474197994876	27.57199296936509	0.8820353080051264
lena	40.0	16.089603782119855	0.3194659891583768	25.11897282156248	0.8064328187260679	22.63933267409502	0.6374408610339389	26.261620327633423	0.8421009218681216
man	10.0	28.130803608679106	0.8565828061008304	27.50583863228105	0.884671084025483	28.079581034631662	0.8907462064246982	26.77715807690397	0.8313065231325762
man	20.0	22.11020369539948	0.6307617908508713	26.311822799747084	0.8490711346549521	25.97545242929739	0.8135957734398063	26.545272754344467	0.8284612419334337
man	30.0	18.58837851428585	0.4609085058280346	25.202179409428314	0.8081577670288301	23.99134872114593	0.7226178590830982	25.94476697165225	0.8125708946186931
